cmip6-id, cmip6-label, cmip6-type
cmip6-specializations-aerosol.aerosol, Aerosol, realm
, , 
cmip6-specializations-aerosol.aerosol.key_properties, Aerosol > Key Properties, keyprops
cmip6-specializations-aerosol.aerosol.key_properties.timestep_framework, Aerosol > Key Properties > Timestep Framework, subprocess
cmip6-specializations-aerosol.aerosol.key_properties.meteorological_forcings, Aerosol > Key Properties > Meteorological Forcings, subprocess
cmip6-specializations-aerosol.aerosol.key_properties.resolution, Aerosol > Key Properties > Resolution, subprocess
cmip6-specializations-aerosol.aerosol.key_properties.tuning_applied, Aerosol > Key Properties > Tuning Applied, subprocess
, , 
cmip6-specializations-aerosol.aerosol.grid, Aerosol > Grid, grid
cmip6-specializations-aerosol.aerosol.grid.resolution, Aerosol > Grid > Resolution, subprocess
, , 
cmip6-specializations-aerosol.aerosol.transport, Aerosol > Transport, process
, , 
cmip6-specializations-aerosol.aerosol.emissions, Aerosol > Emissions, process
, , 
cmip6-specializations-aerosol.aerosol.concentrations, Aerosol > Concentrations, process
, , 
cmip6-specializations-aerosol.aerosol.optical_radiative_properties, Aerosol > Optical Radiative Properties, process
cmip6-specializations-aerosol.aerosol.optical_radiative_properties.absorption, Aerosol > Optical Radiative Properties > Absorption, subprocess
cmip6-specializations-aerosol.aerosol.optical_radiative_properties.mixtures, Aerosol > Optical Radiative Properties > Mixtures, subprocess
cmip6-specializations-aerosol.aerosol.optical_radiative_properties.impact_of_h2o, Aerosol > Optical Radiative Properties > Impact Of H2o, subprocess
cmip6-specializations-aerosol.aerosol.optical_radiative_properties.radiative_scheme, Aerosol > Optical Radiative Properties > Radiative Scheme, subprocess
cmip6-specializations-aerosol.aerosol.optical_radiative_properties.cloud_interactions, Aerosol > Optical Radiative Properties > Cloud Interactions, subprocess
, , 
cmip6-specializations-aerosol.aerosol.model, Aerosol > Model, process
