cmip6-id, cmip6-label, cmip6-type
, , 
cmip6-specializations-seaice.seaice.grid.discretisation.horizontal, Seaice > Grid > Discretisation > Horizontal, property-set
cmip6-specializations-seaice.seaice.grid.discretisation.vertical, Seaice > Grid > Discretisation > Vertical, property-set
, , 
cmip6-specializations-seaice.seaice.thermodynamics.salt.mass_transport, Seaice > Thermodynamics > Salt > Mass Transport, property-set
cmip6-specializations-seaice.seaice.thermodynamics.salt.thermodynamics, Seaice > Thermodynamics > Salt > Thermodynamics, property-set
, , 
