cmip6-id, cmip6-label, cmip6-type
cmip6.landice, Landice, realm
, , 
cmip6.landice.grid, Landice > Grid, grid
, , 
cmip6.landice.key_properties, Landice > Key Properties, keyprops
, , 
cmip6.landice.glaciers, Landice > Glaciers, process
cmip6.landice.glaciers.mass_balance, Landice > Glaciers > Mass Balance, subprocess
cmip6.landice.glaciers.snow_treatment, Landice > Glaciers > Snow Treatment, subprocess
, , 
cmip6.landice.ice_sheet, Landice > Ice Sheet, process
cmip6.landice.ice_sheet.mass_balance, Landice > Ice Sheet > Mass Balance, subprocess
cmip6.landice.ice_sheet.dynamics, Landice > Ice Sheet > Dynamics, subprocess
cmip6.landice.ice_sheet.snow_treatment, Landice > Ice Sheet > Snow Treatment, subprocess
, , 
cmip6.landice.ice_shelves, Landice > Ice Shelves, process
cmip6.landice.ice_shelves.mass_balance, Landice > Ice Shelves > Mass Balance, subprocess
cmip6.landice.ice_shelves.dynamics, Landice > Ice Shelves > Dynamics, subprocess
cmip6.landice.ice_shelves.snow_treatment, Landice > Ice Shelves > Snow Treatment, subprocess
