cmip6-id, cmip6-label, cmip6-type
cmip6.model.key_properties.flux_correction.details, Model > Key Properties > Flux Correction > Details, property
cmip6.model.key_properties.genealogy.year_released, Model > Key Properties > Genealogy > Year Released, property
cmip6.model.key_properties.genealogy.CMIP3_parent, Model > Key Properties > Genealogy > CMIP3 Parent, property
cmip6.model.key_properties.genealogy.CMIP5_parent, Model > Key Properties > Genealogy > CMIP5 Parent, property
cmip6.model.key_properties.genealogy.previous_name, Model > Key Properties > Genealogy > Previous Name, property
cmip6.model.key_properties.software_properties.repository, Model > Key Properties > Software Properties > Repository, property
cmip6.model.key_properties.software_properties.code_version, Model > Key Properties > Software Properties > Code Version, property
cmip6.model.key_properties.software_properties.code_languages, Model > Key Properties > Software Properties > Code Languages, property
cmip6.model.key_properties.software_properties.components_structure, Model > Key Properties > Software Properties > Components Structure, property
cmip6.model.key_properties.software_properties.coupler, Model > Key Properties > Software Properties > Coupler, property
cmip6.model.key_properties.tuning_applied.description, Model > Key Properties > Tuning Applied > Description, property
cmip6.model.key_properties.tuning_applied.global_mean_metrics_used, Model > Key Properties > Tuning Applied > Global Mean Metrics Used, property
cmip6.model.key_properties.tuning_applied.regional_metrics_used, Model > Key Properties > Tuning Applied > Regional Metrics Used, property
cmip6.model.key_properties.tuning_applied.trend_metrics_used, Model > Key Properties > Tuning Applied > Trend Metrics Used, property
cmip6.model.key_properties.tuning_applied.energy_balance, Model > Key Properties > Tuning Applied > Energy Balance, property
cmip6.model.key_properties.tuning_applied.fresh_water_balance, Model > Key Properties > Tuning Applied > Fresh Water Balance, property
cmip6.model.key_properties.conservation.heat.global, Model > Key Properties > Conservation > Heat > Global, property
cmip6.model.key_properties.conservation.heat.atmos_ocean_interface, Model > Key Properties > Conservation > Heat > Atmos Ocean Interface, property
cmip6.model.key_properties.conservation.heat.atmos_land_interface, Model > Key Properties > Conservation > Heat > Atmos Land Interface, property
cmip6.model.key_properties.conservation.heat.atmos_sea-ice_interface, Model > Key Properties > Conservation > Heat > Atmos Sea-ice Interface, property
cmip6.model.key_properties.conservation.heat.ocean_seaice_interface, Model > Key Properties > Conservation > Heat > Ocean Seaice Interface, property
cmip6.model.key_properties.conservation.heat.land_ocean_interface, Model > Key Properties > Conservation > Heat > Land Ocean Interface, property
cmip6.model.key_properties.conservation.fresh_water.global, Model > Key Properties > Conservation > Fresh Water > Global, property
