cmip6-id, cmip6-label, cmip6-type
cmip6.aerosol.optical_radiative_properties.mixtures.internal, Aerosol > Optical Radiative Properties > Mixtures > Internal, property
cmip6.aerosol.optical_radiative_properties.mixtures.mixing_rule, Aerosol > Optical Radiative Properties > Mixtures > Mixing Rule, property
cmip6.aerosol.optical_radiative_properties.impact_of_h2o.size, Aerosol > Optical Radiative Properties > Impact Of H2o > Size, property
cmip6.aerosol.optical_radiative_properties.impact_of_h2o.internal_mixture, Aerosol > Optical Radiative Properties > Impact Of H2o > Internal Mixture, property
cmip6.aerosol.optical_radiative_properties.impact_of_h2o.external_mixture, Aerosol > Optical Radiative Properties > Impact Of H2o > External Mixture, property
cmip6.aerosol.optical_radiative_properties.radiative_scheme.overview, Aerosol > Optical Radiative Properties > Radiative Scheme > Overview, property
cmip6.aerosol.optical_radiative_properties.radiative_scheme.shortwave_bands, Aerosol > Optical Radiative Properties > Radiative Scheme > Shortwave Bands, property
cmip6.aerosol.optical_radiative_properties.radiative_scheme.longwave_bands, Aerosol > Optical Radiative Properties > Radiative Scheme > Longwave Bands, property
cmip6.aerosol.optical_radiative_properties.cloud_interactions.overview, Aerosol > Optical Radiative Properties > Cloud Interactions > Overview, property
cmip6.aerosol.optical_radiative_properties.cloud_interactions.twomey, Aerosol > Optical Radiative Properties > Cloud Interactions > Twomey, property
cmip6.aerosol.optical_radiative_properties.cloud_interactions.twomey_minimum_ccn, Aerosol > Optical Radiative Properties > Cloud Interactions > Twomey Minimum Ccn, property
cmip6.aerosol.optical_radiative_properties.cloud_interactions.drizzle, Aerosol > Optical Radiative Properties > Cloud Interactions > Drizzle, property
cmip6.aerosol.optical_radiative_properties.cloud_interactions.cloud_lifetime, Aerosol > Optical Radiative Properties > Cloud Interactions > Cloud Lifetime, property
cmip6.aerosol.optical_radiative_properties.cloud_interactions.longwave_bands, Aerosol > Optical Radiative Properties > Cloud Interactions > Longwave Bands, property
, , 
cmip6.aerosol.model.name, Aerosol > Model > Name, property
cmip6.aerosol.model.overview, Aerosol > Model > Overview, property
cmip6.aerosol.model.processes, Aerosol > Model > Processes, property
cmip6.aerosol.model.coupling, Aerosol > Model > Coupling, property
cmip6.aerosol.model.gas_phase_precursors, Aerosol > Model > Gas Phase Precursors, property
cmip6.aerosol.model.scheme_type, Aerosol > Model > Scheme Type, property
cmip6.aerosol.model.bulk_scheme_species, Aerosol > Model > Bulk Scheme Species, property
, , 
