cmip6-id, cmip6-label, cmip6-type
cmip6.ocnbgchem.key_properties.time_stepping_framework.passive_tracers_transport, Ocnbgchem > Key Properties > Time Stepping Framework > Passive Tracers Transport, property-set
cmip6.ocnbgchem.key_properties.time_stepping_framework.biology_sources_sinks, Ocnbgchem > Key Properties > Time Stepping Framework > Biology Sources Sinks, property-set
, , 
cmip6.ocnbgchem.tracers.ecosystem.phytoplankton, Ocnbgchem > Tracers > Ecosystem > Phytoplankton, property-set
cmip6.ocnbgchem.tracers.ecosystem.zooplankton, Ocnbgchem > Tracers > Ecosystem > Zooplankton, property-set
, , 
