cmip6-id, cmip6-label, cmip6-type
cmip6.ocean.grid.discretisation.vertical.coordinates, Ocean > Grid > Discretisation > Vertical > Coordinates, property
cmip6.ocean.grid.discretisation.vertical.partial_steps, Ocean > Grid > Discretisation > Vertical > Partial Steps, property
cmip6.ocean.grid.discretisation.horizontal.type, Ocean > Grid > Discretisation > Horizontal > Type, property
cmip6.ocean.grid.discretisation.horizontal.scheme, Ocean > Grid > Discretisation > Horizontal > Scheme, property
, , 
cmip6.ocean.key_properties.model_family, Ocean > Key Properties > Model Family, property
cmip6.ocean.key_properties.basic_approximations, Ocean > Key Properties > Basic Approximations, property
cmip6.ocean.key_properties.prognostic_variables, Ocean > Key Properties > Prognostic Variables, property
cmip6.ocean.key_properties.seawater_properties.eos_type, Ocean > Key Properties > Seawater Properties > Eos Type, property
cmip6.ocean.key_properties.seawater_properties.eos_functional_temp, Ocean > Key Properties > Seawater Properties > Eos Functional Temp, property
cmip6.ocean.key_properties.seawater_properties.eos_functional_salt, Ocean > Key Properties > Seawater Properties > Eos Functional Salt, property
cmip6.ocean.key_properties.seawater_properties.eos_functional_depth, Ocean > Key Properties > Seawater Properties > Eos Functional Depth, property
cmip6.ocean.key_properties.seawater_properties.ocean_freezing_point, Ocean > Key Properties > Seawater Properties > Ocean Freezing Point, property
cmip6.ocean.key_properties.seawater_properties.ocean_specific_heat, Ocean > Key Properties > Seawater Properties > Ocean Specific Heat, property
cmip6.ocean.key_properties.seawater_properties.ocean_reference_density, Ocean > Key Properties > Seawater Properties > Ocean Reference Density, property
cmip6.ocean.key_properties.bathymetry.reference_dates, Ocean > Key Properties > Bathymetry > Reference Dates, property
cmip6.ocean.key_properties.bathymetry.type, Ocean > Key Properties > Bathymetry > Type, property
cmip6.ocean.key_properties.bathymetry.ocean_smoothing, Ocean > Key Properties > Bathymetry > Ocean Smoothing, property
cmip6.ocean.key_properties.bathymetry.source, Ocean > Key Properties > Bathymetry > Source, property
cmip6.ocean.key_properties.nonoceanic_waters.isolated_seas, Ocean > Key Properties > Nonoceanic Waters > Isolated Seas, property
cmip6.ocean.key_properties.nonoceanic_waters.river_mouth, Ocean > Key Properties > Nonoceanic Waters > River Mouth, property
cmip6.ocean.key_properties.resolution.name, Ocean > Key Properties > Resolution > Name, property
cmip6.ocean.key_properties.resolution.canonical_horizontal_resolution, Ocean > Key Properties > Resolution > Canonical Horizontal Resolution, property
cmip6.ocean.key_properties.resolution.number_of_horizontal_gridpoints, Ocean > Key Properties > Resolution > Number Of Horizontal Gridpoints, property
