cmip6-id, cmip6-label, cmip6-type
cmip6.seaice, Seaice, realm
, , 
cmip6.seaice.grid, Seaice > Grid, grid
cmip6.seaice.grid.discretisation, Seaice > Grid > Discretisation, subprocess
cmip6.seaice.grid.seaice_categories, Seaice > Grid > Seaice Categories, subprocess
cmip6.seaice.grid.snow_on_seaice, Seaice > Grid > Snow On Seaice, subprocess
, , 
cmip6.seaice.key_properties, Seaice > Key Properties, keyprops
cmip6.seaice.key_properties.model, Seaice > Key Properties > Model, subprocess
cmip6.seaice.key_properties.variables, Seaice > Key Properties > Variables, subprocess
cmip6.seaice.key_properties.seawater_properties, Seaice > Key Properties > Seawater Properties, subprocess
cmip6.seaice.key_properties.resolution, Seaice > Key Properties > Resolution, subprocess
cmip6.seaice.key_properties.tuning_applied, Seaice > Key Properties > Tuning Applied, subprocess
cmip6.seaice.key_properties.assumptions, Seaice > Key Properties > Assumptions, subprocess
cmip6.seaice.key_properties.conservation, Seaice > Key Properties > Conservation, subprocess
, , 
cmip6.seaice.dynamics, Seaice > Dynamics, process
, , 
cmip6.seaice.thermodynamics, Seaice > Thermodynamics, process
cmip6.seaice.thermodynamics.energy, Seaice > Thermodynamics > Energy, subprocess
cmip6.seaice.thermodynamics.mass, Seaice > Thermodynamics > Mass, subprocess
cmip6.seaice.thermodynamics.salt, Seaice > Thermodynamics > Salt, subprocess
cmip6.seaice.thermodynamics.ice_thickness_distribution, Seaice > Thermodynamics > Ice Thickness Distribution, subprocess
cmip6.seaice.thermodynamics.melt_ponds, Seaice > Thermodynamics > Melt Ponds, subprocess
cmip6.seaice.thermodynamics.snow_processes, Seaice > Thermodynamics > Snow Processes, subprocess
, , 
cmip6.seaice.radiative_processes, Seaice > Radiative Processes, process
