cmip6-id, cmip6-label, cmip6-type
cmip6.ocnbgchem, Ocnbgchem, realm
, , 
cmip6.ocnbgchem.key_properties, Ocnbgchem > Key Properties, keyprops
cmip6.ocnbgchem.key_properties.time_stepping_framework, Ocnbgchem > Key Properties > Time Stepping Framework, subprocess
cmip6.ocnbgchem.key_properties.transport_scheme, Ocnbgchem > Key Properties > Transport Scheme, subprocess
cmip6.ocnbgchem.key_properties.boundary_forcing, Ocnbgchem > Key Properties > Boundary Forcing, subprocess
cmip6.ocnbgchem.key_properties.gas_exchange, Ocnbgchem > Key Properties > Gas Exchange, subprocess
cmip6.ocnbgchem.key_properties.carbon_chemistry, Ocnbgchem > Key Properties > Carbon Chemistry, subprocess
cmip6.ocnbgchem.key_properties.tuning_applied, Ocnbgchem > Key Properties > Tuning Applied, subprocess
, , 
cmip6.ocnbgchem.tracers, Ocnbgchem > Tracers, process
cmip6.ocnbgchem.tracers.ecosystem, Ocnbgchem > Tracers > Ecosystem, subprocess
cmip6.ocnbgchem.tracers.disolved_organic_matter, Ocnbgchem > Tracers > Disolved Organic Matter, subprocess
cmip6.ocnbgchem.tracers.particules, Ocnbgchem > Tracers > Particules, subprocess
cmip6.ocnbgchem.tracers.dic_alkalinity, Ocnbgchem > Tracers > Dic Alkalinity, subprocess
