Table 1,
CMIP5 component [> process],CMIP6 Specialization ID
Aerosols,cmip6.aerosol
Aerosols > Emission & Concentration,cmip6.aerosol.concentrations
Aerosols > Model,cmip6.aerosol.model
Aerosols > Transport,cmip6.aerosol.transport
