Table 1,
CMIP5 component [> process],CMIP6 Specialization ID
Ocean Bio-Geo Chemistry,cmip6.ocnbgchem
Ocean Bio-Geo Chemistry > Boundary Forcing,cmip6.ocnbgchem.key_properties.boundary_forcing
Ocean Bio-Geo Chemistry > Chemistry,cmip6.ocnbgchem.key_properties.carbon_chemistry
Ocean Bio-Geo Chemistry > Gas Exchange,cmip6.ocnbgchem.key_properties.gas_exchange
Ocean Bio-Geo Chemistry > Tracers,cmip6.ocnbgchem.tracers
Ocean Bio-Geo Chemistry > Tracers > Ecosystem,cmip6.ocnbgchem.tracers.ecosystem
