CMIP5 component [> process],CMIP6 Specialization ID
Atmospheric Chemistry,cmip6.atmoschem
Atmospheric Chemistry > Emission & Concentration,cmip6.atmoschem.emissions_concentrations
Atmospheric Chemistry > Gas Phase Chemistry,cmip6.atmoschem.gas_phase_chemistry
Atmospheric Chemistry > Heterogen Chemistry > Stratospheric,cmip6.atmoschem.stratospheric_heterogeneous_chemistry
Atmospheric Chemistry > Heterogen Chemistry > Tropospheric,cmip6.atmoschem.tropospheric_heterogeneous_chemistry
Atmospheric Chemistry > Photo Chemistry,cmip6.atmoschem.photo_chemistry
Atmospheric Chemistry > Transport,cmip6.atmoschem.transport
