CMIP5 component [> process],CMIP6 Specialization ID
Land Ice,cmip6.landice
Land Ice > Glaciers,cmip6.landice.glaciers
Land Ice > Sheet,
Land Ice > Sheet > Dynamics,
Land Ice > Shelves,
Land Ice > Shelves > Dynamics,
