component,metafor component
Land Ice,LandIce
Land Ice > Glaciers,LandIceGlaciers
Land Ice > Sheet,LandIceSheet
Land Ice > Sheet > Dynamics,IceSheetDynamics
Land Ice > Shelves,LandIceShelves
Land Ice > Shelves > Dynamics,LandIceShelvesDynamics
